anime_id,10,9,8,7,6,5,4,3,2,1
40664,771,478,408,178,82,36,16,11,2,16
18639,46,27,97,229,242,110,45,33,11,13
23299,228,157,354,737,737,458,133,56,23,32
34300,3955,5420,11869,14582,7087,3279,1452,662,347,302
1548,106,137,246,287,181,84,31,11,6,7
40855,198,141,300,466,444,266,133,66,45,61
5968,186,192,550,1101,560,233,63,23,9,12
11101,12,7,21,40,40,36,19,5,5,4
17427,5,1,4,7,7,18,8,7,2,4
27451,10,4,13,21,29,44,18,8,6,8
44069,1799,2002,4374,4731,2120,787,320,105,65,66
34511,15,4,6,13,12,19,9,7,5,7
1033,13154,18529,20793,10730,3866,1414,502,166,90,203
37571,82,55,121,245,380,471,486,390,325,392
43624,1,,,,3,3,,,,
962,5164,6687,7314,4261,1694,821,251,130,69,316
28049,14,,4,11,31,75,44,22,15,26
9548,66,37,83,185,165,97,25,11,6,11
9088,749,735,1091,872,355,170,54,34,14,25
6276,89,122,320,689,632,423,207,86,54,51
39533,59493,59425,65239,37273,12368,4890,1643,687,381,650
20743,276,230,445,895,830,483,158,57,30,30
40302,1,,1,6,18,26,7,3,5,6
2398,2372,3229,6401,8978,4400,1940,536,188,74,62
612,77,129,296,616,504,310,100,46,22,22
588,275,346,714,1499,1536,1189,609,411,274,176
32902,15093,26322,38677,20673,5929,1929,544,198,96,167
32041,10,9,33,66,84,60,18,10,9,4
33019,872,1226,3299,5646,3287,1515,703,244,118,120
3298,1161,1825,3238,4352,2539,1348,526,219,110,89
17833,9,1,2,11,9,33,21,31,18,38
39944,120,126,162,287,215,159,37,18,12,16
51013,8,7,13,37,64,21,9,4,,
40200,55,43,91,158,117,85,15,11,8,9
42766,3,1,,3,,2,,,1,
32255,6,2,2,6,12,18,6,1,4,5
2859,86,78,136,273,308,229,94,59,29,35
36764,9,1,,5,15,32,26,17,19,11
35234,4,,,2,4,10,1,,3,5
39540,1,1,,2,6,9,2,6,3,5
51128,,,,,,,,,,
23107,9,9,16,29,16,17,6,4,6,8
42760,2,,2,2,1,3,2,2,1,4
36106,17601,18698,39066,35431,10659,3190,845,329,111,275
40570,1,1,1,12,19,12,7,2,5,6
39916,2,,1,1,4,8,,1,1,1
29667,8,1,4,8,12,23,24,11,16,13
4074,25,31,56,108,88,63,21,10,5,13
47945,,,,,,,,,1,
5075,121,125,181,195,100,79,18,11,7,4
39195,41618,100871,151279,87486,30390,12229,5709,2613,1543,2692
4599,24,14,32,65,77,55,17,6,7,4
2302,99,94,190,417,467,259,106,61,33,44
5934,10,3,7,33,56,74,72,62,37,17
47164,2,,,,,,,,,
30158,4,,,11,5,12,9,3,7,12
2577,360,305,689,966,521,243,81,35,17,13
48859,28,13,11,13,11,17,4,5,,10
1951,574,1062,2478,3192,1818,820,298,124,72,61
47163,,,,,,,,,,
1955,16,47,110,243,236,185,112,39,30,12
2447,225,140,307,588,667,585,290,180,120,98
23847,97399,159271,194443,94229,28594,10031,3963,1444,626,865
4733,10,2,6,22,19,36,34,25,47,50
856,5648,9933,18194,15410,6592,2962,1114,362,175,182
40645,5,6,8,23,25,21,8,5,2,7
35553,13,2,10,27,32,42,17,10,7,6
3668,79,172,376,693,555,385,141,49,28,21
17815,60,93,195,529,613,423,143,68,42,35
10112,7,,6,15,24,36,10,15,2,6
35972,36487,30759,43313,41649,22743,12465,7136,3457,1950,2101
1817,927,1179,2317,4031,2756,1466,521,268,170,95
29,479,967,1999,1880,745,335,123,38,16,34
2420,35,56,206,365,266,127,61,16,13,9
10794,4164,5205,11340,19857,11761,6114,2384,1230,655,521
46630,3,3,14,8,10,11,3,2,1,2
48391,10,4,8,27,23,27,21,20,20,10
36564,257,67,112,195,311,410,220,120,90,162
36006,,,,,,,,,,
7705,802,972,1930,3442,3871,3259,1823,901,589,400
30634,5,,3,4,13,8,2,4,1,3
38348,5,1,3,11,8,4,5,4,1,7
35327,748,713,909,1034,572,332,117,74,48,60
15977,6,1,5,7,14,35,19,14,5,8
49063,500,415,599,266,84,30,10,18,33,40
31387,79,111,193,436,358,221,73,35,18,8
36740,5,,,2,7,6,4,6,5,6
32366,10148,8727,10719,5555,1537,552,211,89,65,502
1301,806,1031,1805,1742,753,309,141,62,29,41
32818,7,1,2,12,6,7,7,7,6,36
38658,39,18,28,40,57,35,6,3,2,6
120,35720,44506,66370,63952,28935,13990,4821,1702,906,882
26111,16,21,30,29,19,9,6,3,4,6
43665,1,,,1,3,3,1,1,1,1
20651,6360,8173,10557,5000,1216,467,77,47,20,68
9311,444,371,702,1012,579,359,125,69,46,41
35726,116,83,163,299,468,375,184,119,69,86
378,89,160,373,656,463,296,94,42,24,21
18007,22,2,6,8,15,10,9,6,8,15
10736,78,23,47,109,149,131,53,20,22,22
5890,83,52,159,299,384,340,195,118,74,90
42501,7,1,6,10,18,26,10,6,2,4
