anime_id,watching,completed,on-hold,dropped,plan to watch,total
41025,166744,209117,32488,21011,209987,639347
1252,163,3394,114,120,3060,6851
284,470,6214,538,523,5008,12753
38276,3634,19135,1870,4776,13062,42477
8956,32,286,22,84,201,625
48025,0,3,0,10,15,28
42358,1,93,0,11,27,132
26297,10,33,1,45,55,144
9289,18382,138688,12755,10564,123204,303593
43661,0,7,1,8,8,24
1938,85,751,44,55,860,1795
10590,941,5616,465,364,2469,9855
6558,571,2887,329,327,2235,6349
4698,424,2843,210,196,1311,4984
38702,6,310,3,19,92,430
39401,11,80,13,27,141,272
35170,7,58,0,43,38,146
24991,4295,124328,2253,2204,31499,164579
48109,7,0,3,9,25,44
29801,84,1410,57,89,1392,3032
36447,158,233,51,131,809,1382
688,769,11131,793,1097,9694,23484
9375,374,2027,195,177,1328,4101
1298,87,3190,64,49,1204,4594
3556,126,937,86,101,521,1771
37533,4,141,1,9,30,185
33177,8,81,1,43,55,188
39872,16,582,3,20,113,734
49941,1,163,4,17,60,245
18627,21,66,9,50,182,328
30976,7,27,3,44,34,115
12223,103,1448,89,79,2113,3832
9858,34,503,17,79,299,932
10375,9,283,4,30,128,454
1788,287,2023,188,207,1350,4055
468,2053,104812,1146,529,36825,145365
22119,593,4105,325,300,1898,7221
21053,22,84,7,58,154,325
38964,4,201,2,14,37,258
29267,8,76,3,37,57,181
48643,5,0,3,0,17375,17383
6293,168,2137,75,70,1559,4009
30054,7,40,1,43,40,131
35335,0,0,0,0,4444,4444
9327,301,1536,175,155,1041,3208
1853,475,2654,526,500,4458,8613
48979,0,30,2,12,12,56
27419,248,4693,137,82,3066,8226
40403,1582,3792,611,2591,7828,16404
38495,5,115,2,10,31,163
2318,43,1097,32,64,551,1787
19983,14,102,11,89,152,368
2083,105,1359,63,61,1141,2729
43231,0,10,2,7,8,27
33879,17,174,14,49,198,452
3455,30411,365366,20469,31748,118761,566755
48086,0,5,0,9,15,29
34975,246,764,125,319,2409,3863
40806,195,864,62,67,1302,2490
197,1027,12775,1022,1731,6760,23315
5178,861,24604,401,486,11677,38029
36766,9,240,2,11,40,302
2969,436,29529,301,243,6646,37155
26213,1692,65721,770,1011,16672,85866
35280,6,28,1,37,33,105
12809,18,69,11,68,131,297
9013,70,510,41,87,612,1320
36643,48,323,11,46,306,734
12835,25,114,9,93,145,386
1133,1147,18243,1004,1359,6546,28299
40902,44686,249984,12990,12041,99663,419364
38104,227,1973,122,152,2148,4622
3070,35,917,18,46,358,1374
38098,2158,8526,1028,1626,6650,19988
48405,0,0,1,0,15159,15160
9260,9535,304980,2808,1362,136514,455199
36196,317,2535,128,228,1359,4567
33480,18,65,5,68,62,218
28257,46,1133,32,90,766,2067
42178,254,275,71,176,1759,2535
41217,23,676,1,39,231,970
2191,193,1893,140,153,987,3366
1805,186,2947,148,188,1766,5235
49997,0,60,0,4,13,77
17649,26,74,11,49,224,384
4362,269,6944,151,298,1853,9515
37696,6,104,3,18,25,156
7108,84,2527,71,88,1716,4486
40395,13,175,11,32,96,327
38975,1155,1185,341,239,1209,4129
20797,9,63,5,46,67,190
6069,146,1749,83,147,1494,3619
50583,0,0,0,0,1212,1212
36866,59,55,26,54,332,526
45448,21,34,4,34,79,172
6773,8397,145784,7234,6780,53245,221440
8729,10,250,6,36,64,366
3795,282,1236,161,152,986,2817
32195,137,671,91,84,492,1475
895,586,93721,330,281,5419,100337
1883,83,980,78,183,658,1982
32613,2720,5229,1297,1970,11058,22274
3546,51,408,35,85,411,990
21891,12,266,3,21,51,353
4697,69,868,45,103,487,1572
36611,16,50,7,56,74,203
6574,4612,42214,2968,3006,27488,80288
29141,16,329,11,31,150,537
30940,7,26,2,48,42,125
3584,77,675,54,89,415,1310
16690,95,2547,49,39,1122,3852
50379,1,0,0,0,1439,1440
33392,1971,22396,1040,3644,7470,36521
1280,416,5213,423,494,4164,10710
7157,33,653,26,57,512,1281
15129,21,62,8,46,93,230
3877,91,418,62,114,680,1365
29035,333,3701,178,224,2075,6511
35161,6,23,3,33,32,97
36030,10,380,12,28,175,605
43523,28890,157413,2821,4529,55655,249308
33262,20,49,10,92,98,269
2633,25,869,25,84,383,1386
5028,1872,50045,761,733,10833,64244
32926,21,138,10,88,179,436
4561,117,793,74,114,548,1646
42447,2,27,4,32,41,106
40964,5570,8906,1613,6045,12163,34297
28087,16,73,19,63,141,312
38493,11,123,1,28,70,233
35053,7,22,2,39,37,107
16776,18,74,11,49,195,347
37982,32282,428830,10325,26065,104863,602365
43666,1,10,2,5,10,28
18967,12,94,5,63,110,284
5602,21,273,7,38,187,526
49961,0,5,0,8,14,27
33947,183,3756,123,247,2508,6817
36720,5237,9647,1211,824,4743,21662
7633,12,74,5,59,122,272
570,3695,82256,1324,709,58356,146340
31164,33,193,16,82,282,606
14807,2532,60533,1161,448,36765,101439
6922,3236,149112,1627,1620,43948,199543
48187,1,7,2,17,20,47
34836,295,1949,99,297,839,3479
184,712,9950,867,1244,6270,19043
22673,1915,45809,846,595,10076,59241
4166,232,3342,145,120,2417,6256
4028,1182,23318,1225,1132,7869,34726
48910,6,20,2,12,38,78
1949,53,2402,34,47,655,3191
40641,5,69,0,15,43,132
37343,38,0,10,50,86,184
13509,11,71,11,69,82,244
27949,31,248,12,34,301,626
7809,30,1111,21,90,494,1746
2348,171,1298,124,132,857,2582
30089,19,158,10,55,122,364
4132,41,536,28,121,496,1222
22865,9945,101274,4944,6443,42469,165075
38594,4095,77162,1556,644,71919,155376
34402,639,4233,323,2005,3075,10275
25889,25,371,12,52,252,712
46328,1,5,0,13,19,38
17521,30,149,18,94,253,544
29733,8,46,4,48,67,173
9343,17,116,10,41,219,403
39344,3,40,4,24,50,121
41308,3,97,1,4,11,116
15609,835,32742,400,236,8365,42578
17443,13,119,12,76,156,376
42985,54,566,24,45,308,997
43551,3,69,4,6,16,98
4705,576,23326,497,441,7213,32053
24977,72,0,27,74,134,307
48764,8,207,2,7,29,253
24045,21,97,14,32,168,332
19859,512,3555,272,201,1431,5971
38487,4,261,3,17,50,335
33335,17,356,13,54,208,648
49820,0,0,0,0,537,537
12901,17,97,2,52,142,310
36782,114,524,36,45,893,1612
10504,346,8650,303,261,5621,15181
13163,2135,642,1783,1653,3974,10187
1830,315,10534,399,194,3131,14573
350,2477,28576,2303,2474,10612,46442
8496,31,512,10,33,329,915
12865,55,1534,34,91,696,2410
23677,31,170,23,76,186,486
38855,3,161,4,11,26,205
1419,171,6617,127,124,2863,9902
41399,272,1518,171,143,1199,3303
31630,13622,46659,9643,23734,27842,121500
38010,23,43,10,94,135,305
30445,89,985,41,63,1058,2236
43594,0,8,1,6,9,24
48652,340,1873,140,130,536,3019
1979,75,2539,33,52,1092,3791
30160,9,268,3,27,55,362
36066,9,144,2,11,51,217
22043,106739,542505,48336,59287,100134,857001
