character_id,people_id
177256,7882
2378,7882
4747,7882
11050,7882
913,7882
143844,7882
2707,7882
57997,7882
5712,7882
30312,7882
59693,7882
37289,7882
13036,7882
36704,7882
19647,7882
5299,7882
864,8002
895,8002
869,8002
1085,8002
4394,8002
44475,8002
37067,8002
37067,8002
204286,26827
36307,26827
3725,26827
140323,56139
140323,56139
140323,56139
140323,56139
140323,56139
81869,56139
130905,56139
130905,56139
163544,873
16128,873
16128,873
2907,873
7317,873
25803,873
2180,873
2180,873
2319,873
25803,873
2180,873
1601,873
4938,873
6843,873
1258,873
86,873
1258,873
86,873
6843,873
24023,873
3821,873
86,873
30465,873
6698,873
5280,873
15547,873
13558,873
2308,873
15748,873
41981,873
41992,873
18299,873
36758,873
7256,873
19912,873
105999,704
25105,704
101683,704
1853,704
33298,704
1853,704
15976,704
50789,704
49295,704
33349,704
40621,704
180371,704
198956,46044
194217,46044
37012,46044
166530,46044
2675,46044
3331,46044
173776,46044
82533,46044
127450,46044
167381,46044
134200,46044
127450,46044
161818,46044
161793,46044
161768,46044
154829,46044
6127,46044
37014,46044
9766,46044
6127,46044
15543,46044
2675,46044
2675,46044
908,46044
5728,46044
18465,46044
22946,46044
9509,46044
22901,46044
7345,46044
22847,46044
1088,46044
1085,46044
17541,46044
55375,46044
3331,46044
21367,46044
21218,46044
199224,11695
189679,11695
1257,11695
185351,11695
165176,11695
153878,11695
132957,11695
134793,11695
125651,11695
163771,11695
132957,11695
132957,11695
138153,11695
134793,11695
7309,11695
54801,11695
7370,11695
36309,11695
104663,11695
13973,11695
36309,11695
36309,11695
36309,11695
1257,11695
36309,11695
36309,11695
41571,11695
36309,11695
185997,11695
1257,11695
7309,11695
15536,11695
36309,11695
1257,11695
15365,11695
36309,11695
36309,11695
36309,11695
106559,11695
7370,11695
852,11695
6429,11695
36309,11695
1546,11695
10606,11695
32141,11695
51571,11695
31369,11695
22864,11695
73463,11695
7653,11695
58,11695
118855,11695
36309,11695
18937,11695
36309,11695
7370,11695
10698,11695
14032,11695
41780,11695
36309,11695
5867,11695
36309,11695
6462,11695
33381,11695
37351,11695
129335,11695
1257,11695
36309,11695
1257,11695
21524,11695
79531,11695
2406,11695
6372,11695
1257,11695
2322,11695
525,11695
9770,11695
160887,11695
525,11695
41523,11695
131748,11695
41978,11695
25929,11695
13329,11695
74940,11695
143980,11695
7370,11695
7309,11695
14888,11695
59691,11695
56485,11695
169001,11695
46225,11695
7370,11695
3183,11695
2098,11695
7309,11695
98149,28513
137301,28513
178041,1592
201768,1592
178041,1592
164290,1592
183023,1592
179654,1592
29090,1592
178041,1592
86209,1592
164290,1592
166667,1592
154792,1592
148907,1592
32563,1592
86209,1592
148717,1592
86209,1592
7874,1592
150661,1592
107791,1592
7874,1592
146638,1592
37733,1592
132515,1592
37733,1592
133599,1592
86209,1592
132849,1592
130132,1592
86209,1592
46173,1592
37733,1592
96957,1592
61709,1592
46173,1592
122879,1592
116355,1592
111881,1592
124315,1592
106187,1592
46173,1592
96957,1592
61709,1592
55909,1592
86209,1592
93695,1592
46173,1592
46173,1592
37733,1592
54705,1592
86209,1592
29090,1592
29090,1592
30560,1592
61709,1592
46173,1592
76708,1592
60153,1592
46173,1592
30560,1592
65699,1592
61709,1592
54705,1592
86433,1592
46173,1592
41739,1592
58855,1592
55909,1592
54705,1592
37733,1592
41739,1592
86433,1592
29561,1592
37733,1592
46173,1592
40322,1592
44222,1592
29561,1592
41739,1592
41937,1592
43082,1592
41739,1592
55341,1592
29766,1592
61709,1592
46173,1592
37733,1592
29090,1592
46173,1592
29561,1592
29561,1592
28866,1592
29090,1592
22669,1592
28866,1592
11350,1592
5808,1592
5808,1592
18211,1592
828,1592
6631,1592
6631,1592
11869,1592
103195,24259
87063,24259
182671,53257
174872,43365
21217,43365
151610,43365
151919,43365
110171,43365
158061,43365
31084,43365
110365,29777
140704,10392
127942,10392
139870,10392
110651,10392
75628,10392
48469,10392
32701,10392
32525,10392
32525,10392
29078,10392
32701,10392
156350,47435
157971,47435
36828,47435
156350,47435
156350,47435
1743,47435
156350,47435
1743,47435
143733,47435
1743,47435
1743,47435
65259,158
46494,158
200768,158
63649,158
86699,158
194264,158
119321,158
103945,158
86699,158
89285,158
152125,158
46494,158
63649,158
164483,158
188302,158
119321,158
46494,158
79593,158
131538,158
175548,158
119321,158
184192,158
119321,158
179397,158
169873,158
175548,158
46494,158
65259,158
173481,158
130739,158
137097,158
163282,158
119321,158
46494,158
119321,158
152125,158
46494,158
86699,158
158051,158
152125,158
70295,158
70293,158
63649,158
119321,158
161186,158
46494,158
21176,158
119321,158
131538,158
119321,158
46494,158
143956,158
156350,158
70293,158
139707,158
86699,158
142332,158
156350,158
21176,158
141073,158
131538,158
119321,158
156350,158
46494,158
130739,158
164732,158
65259,158
134711,158
128339,158
46494,158
86699,158
124020,158
103945,158
21176,158
19582,158
4171,158
19587,158
79593,158
119747,158
65259,158
35663,158
46494,158
118427,158
113599,158
104981,158
86699,158
89285,158
95837,158
29513,158
109941,158
105011,158
113491,158
104167,158
65259,158
29513,158
63649,158
84203,158
105011,158
95415,158
53677,158
63649,158
94419,158
80885,158
95415,158
95837,158
39019,158
46494,158
65259,158
35663,158
116477,158
93563,158
95855,158
89285,158
93887,158
39019,158
35663,158
79593,158
5503,158
46494,158
46494,158
79485,158
76392,158
2565,158
46494,158
65259,158
79593,158
53677,158
37513,158
5503,158
72201,158
53677,158
5503,158
2565,158
75328,158
67081,158
37513,158
64059,158
42833,158
64059,158
9354,158
65345,158
53677,158
101631,158
53677,158
42546,158
35663,158
35776,158
8426,158
37513,158
108087,158
47863,158
42833,158
37513,158
71381,158
60515,158
4321,158
2565,158
36946,158
42720,158
6044,158
17080,158
13870,158
42347,158
38810,158
25590,158
43370,158
39019,158
29513,158
24977,158
42546,158
29513,158
36946,158
39019,158
35663,158
35776,158
29513,158
31616,158
38271,158
29513,158
39130,158
7319,158
29513,158
18554,158
6044,158
7319,158
36179,158
29513,158
29513,158
22628,158
25590,158
36089,158
35400,158
7246,158
19554,158
30320,158
3745,158
14044,158
