anime_id,title,type,aired,premiered,studios,source,genres,rating,theme,anime_img_url
5923,Utsunomiko: Heaven Chapter,OVA,"Oct 24, 1990 to Feb 19, 1992",,Toei Animation,Light novel,"Adventure, Fantasy",PG - Children,Demons,https://cdn.myanimelist.net/images/anime/2/30529.jpg
10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,"Feb 4, 2012",,Studio 4°C,Manga,"Action, Adventure, Fantasy, Supernatural",R+ - Mild Nudity,,https://cdn.myanimelist.net/images/anime/12/62179.jpg
2727,Sweet Valerian,TV,"Aug 1, 2004 to Dec 19, 2004",Summer 2004,Madhouse,Original,"Action, Comedy",G - All Ages,School,https://cdn.myanimelist.net/images/anime/11/3676.jpg
46488,Tai-Ari deshita.: Ojou-sama wa Kakutou Game nante Shinai,Unknown,Not available,,"None found, add some",Manga,"Comedy, Girls Love",None,,https://cdn.myanimelist.net/images/anime/1230/111237.jpg
24975,Ghibli ga Ippai Special Short Short,Special,"Nov 16, 2005",,Studio Ghibli,Other,Slice of Life,G - All Ages,,https://cdn.myanimelist.net/images/anime/4/64003.jpg
38050,Shoujo☆Kageki Revue Starlight Specials,Special,"Oct 24, 2018 to Feb 27, 2019",,Kinema Citrus,Original,Comedy,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/1349/93309.jpg
27757,Anisava,TV,"Aug 26, 2013 to Jan 13, 2014",Summer 2013,"TMS Entertainment, DLE",Unknown,"Comedy, Romance, Slice of Life",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/12/67189.jpg
396,Seikai no Senki,TV,"Apr 14, 2000 to Jul 14, 2000",Spring 2000,Sunrise,Light novel,"Action, Romance, Sci-Fi",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/11/61111.jpg
34821,"Seiso de Majime na Kanojo ga, Saikyou Yaricir ni Kanyuu Saretara...? The Animation",OVA,"Apr 28, 2017",,Office No. 8,Visual novel,Hentai,Rx - Hentai,,https://cdn.myanimelist.net/images/anime/1482/104324.jpg
17543,D-Spray,OVA,"Mar 29, 2013",,Schoolzone,Visual novel,Hentai,Rx - Hentai,,https://cdn.myanimelist.net/images/anime/1459/103908.jpg
47989,Alan Jiaoshou De Mofa Zhipai,TV,2019,?,"None found, add some",Original,,G - All Ages,,https://cdn.myanimelist.net/images/anime/1466/118279.jpg
41054,High & Low: G-Sword (Special),Special,"Jul 31, 2017 to Aug 4, 2017",,"None found, add some",Other,Comedy,G - All Ages,Parody,https://cdn.myanimelist.net/images/anime/1450/105390.jpg
34825,Keppeki Danshi! Aoyama-kun,TV,"Jul 3, 2017 to Sep 18, 2017",Summer 2017,Studio Hibari,Manga,"Comedy, Sports",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/9/86644.jpg
32221,Robocar Poli 2,TV,"Dec 26, 2011 to May 15, 2012",Winter 2012,"None found, add some",Original,,G - All Ages,,https://cdn.myanimelist.net/images/anime/12/78248.jpg
34494,Sakura Quest,TV,"Apr 6, 2017 to Sep 21, 2017",Spring 2017,P.A. Works,Original,"Comedy, Slice of Life",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/6/85222.jpg
43656,Aaron He Lili,Movie,1989,,Shanghai Animation Film Studio,Original,,PG - Children,,https://cdn.myanimelist.net/images/anime/1768/118615.jpg
48772,Nico Niconnect!,Music,"Feb 17, 2021",,"None found, add some",Original,,PG-13 - Teens 13 or older,Music,https://cdn.myanimelist.net/images/anime/1158/114484.jpg
37584,Bakumatsu,TV,"Oct 5, 2018 to Dec 21, 2018",Fall 2018,Studio Deen,Game,Action,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/1764/95110.jpg
50418,Ninjala (TV),TV,"Jan 8, 2022 to ?",Winter 2022,OLM,Game,Action,None,,https://cdn.myanimelist.net/images/anime/1552/119871.jpg
50622,Kemonokko Tsuushin: The Animation - Ushi Musume Bell,ONA,"Dec 25, 2021",,"None found, add some",Manga,Hentai,Rx - Hentai,,https://cdn.myanimelist.net/images/anime/1323/120337.jpg
38763,Synchro Noise,Music,"Sep 3, 2013",,"None found, add some",Original,,G - All Ages,Music,https://cdn.myanimelist.net/images/anime/1785/96873.jpg
32547,Non Non Biyori Repeat: Hotaru ga Tanoshinda,OVA,"Sep 23, 2016",,SILVER LINK.,Manga,"Comedy, Slice of Life",PG-13 - Teens 13 or older,School,https://cdn.myanimelist.net/images/anime/13/78136.jpg
43504,Mao Mi De Hu Zi,Movie,1981,,"None found, add some",Original,,PG - Children,,https://cdn.myanimelist.net/images/anime/1025/118252.jpg
9825,Tonari no Tokoro,OVA,"May 25, 1990",,Pastel,Original,Comedy,G - All Ages,,https://cdn.myanimelist.net/images/anime/4/27209.jpg
3837,Mashin Eiyuuden Wataru,TV,"Apr 15, 1988 to Mar 31, 1989",Spring 1988,Sunrise,Unknown,"Adventure, Comedy, Sci-Fi",G - All Ages,Mecha,https://cdn.myanimelist.net/images/anime/8/65417.jpg
35586,Jinryoku Senkan!? Shiokaze Sawakaze,ONA,"May 2, 2017 to Nov 10, 2018",,Gaina,Original,Sci-Fi,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/7/87633.jpg
25053,Mister Ajikko Special,Special,"Feb 9, 1989",,Sunrise,Manga,"Comedy, Gourmet",G - All Ages,,https://cdn.myanimelist.net/images/anime/7/64113.jpg
8367,Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,Movie,"Apr 19, 2008",,Shin-Ei Animation,Manga,"Comedy, Slice of Life, Ecchi",G - All Ages,School,https://cdn.myanimelist.net/images/anime/12/22031.jpg
24109,Tooryanse,Music,"Jan 14, 2014",,"None found, add some",Unknown,Supernatural,G - All Ages,Music,https://cdn.myanimelist.net/images/anime/8/62887.jpg
998,Blue Seed,TV,"Oct 5, 1994 to Mar 29, 1995",Fall 1994,"Production I.G, Production Reed",Manga,"Action, Adventure, Comedy, Drama, Horror, Mystery, Romance, Sci-Fi, Ecchi",PG-13 - Teens 13 or older,Demons,https://cdn.myanimelist.net/images/anime/2/14047.jpg
5713,Minami-ke Betsubara,OVA,"Jun 23, 2009",,asread.,Manga,"Comedy, Slice of Life",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/10/25454.jpg
3065,Ozanari Dungeon: Kaze no Tou,OVA,"Sep 27, 1991 to Dec 20, 1991",,Telecom Animation Film,Manga,"Action, Adventure, Comedy, Fantasy",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/1495/97336.jpg
17671,Animal 1,TV,"Apr 1, 1968 to Sep 30, 1968",Spring 1968,"None found, add some",Unknown,Sports,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/2/47151.jpg
3057,Loveless Specials,Special,"Nov 1, 2005 to Apr 27, 2006",,J.C.Staff,Manga,"Boys Love, Comedy, Fantasy, Romance, Supernatural",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/10/22681.jpg
43013,Aku no Onna Kanbu: Full Moon Night R,OVA,"Oct 2, 2020 to Nov 6, 2020",,T-Rex,Visual novel,Hentai,Rx - Hentai,,https://cdn.myanimelist.net/images/anime/1027/115329.jpg
3674,Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,Special,"Jan 1, 2008",,Shaft,Manga,Comedy,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/9/21815.jpg
13307,Shounen Ninja Kaze no Fujimaru,TV,"Jun 7, 1964 to Aug 31, 1965",Summer 1964,Toei Animation,Unknown,"Action, Adventure",None,Samurai,https://cdn.myanimelist.net/images/anime/13/56385.jpg
23061,Heya/Keitai,Movie,Jan 1999,,"None found, add some",Original,Fantasy,G - All Ages,Music,https://cdn.myanimelist.net/images/anime/7/59763.jpg
34757,Town Workers,ONA,"Sep 18, 2014",,Rockwell Eyes,Original,Slice of Life,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/4/83802.jpg
35446,Residence,OVA,"May 12, 2017 to Jan 12, 2018",,"None found, add some",Manga,Hentai,Rx - Hentai,Demons,https://cdn.myanimelist.net/images/anime/1212/119735.jpg
44571,Lie Yang Tiandao I,Movie,"Aug 6, 2020",,"None found, add some",Original,"Action, Adventure, Fantasy, Sci-Fi",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/1296/114407.jpg
1813,Genshiken OVA,OVA,"Dec 22, 2006 to Apr 25, 2007",,Ajia-Do,Manga,"Comedy, Slice of Life",PG-13 - Teens 13 or older,Parody,https://cdn.myanimelist.net/images/anime/2/21672.jpg
31251,Mobile Suit Gundam: Iron-Blooded Orphans,TV,"Oct 4, 2015 to Mar 27, 2016",Fall 2015,Sunrise,Original,"Action, Drama, Sci-Fi",R - 17+ (violence & profanity),,https://cdn.myanimelist.net/images/anime/6/75879.jpg
1915,Mahou Shoujo Lyrical Nanoha StrikerS,TV,"Apr 2, 2007 to Sep 24, 2007",Spring 2007,Seven Arcs,Original,"Action, Comedy, Drama",PG-13 - Teens 13 or older,Super Power,https://cdn.myanimelist.net/images/anime/3/14190.jpg
1217,Seikimatsu★Darling,OVA,"Feb 16, 1996",,Horannabi,Manga,"Boys Love, Comedy, Drama, Romance",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/13/72910.jpg
48313,11-gatsu Umare no Otokonoko no Tame ni.,Movie,2012,,"None found, add some",Original,Slice of Life,G - All Ages,,https://cdn.myanimelist.net/images/anime/1539/112584.jpg
38813,Asayake to Nettaigyo,Music,"Jan 7, 2018",,"None found, add some",Original,,G - All Ages,Music,https://cdn.myanimelist.net/images/anime/1299/106686.jpg
33393,Enkou Shoujo: Rikujoubu Yukki no Baai The Animation,OVA,"Aug 26, 2016",,Office No. 8,Visual novel,Hentai,Rx - Hentai,,https://cdn.myanimelist.net/images/anime/1229/112316.jpg
