anime_id,score,rating_count,ranked,popularity,members,favorites
4149,5.10,1061,,8976,2577,2
13041,N/A,,,13886,396,0
39659,N/A,,,13087,523,1
39416,6.18,528,,9783,1888,1
43665,N/A,,,18727,40,0
6226,6.40,1121,,7889,3899,1
2062,6.35,1196,,8875,2688,5
40732,6.74,104,,11826,873,10
29123,6.12,933,,10115,1665,2
35090,N/A,,,17551,135,0
1485,7.83,7155,,4109,19795,136
43762,N/A,,,8467,3109,3
12497,6.15,164,,13779,411,1
3835,6.55,532,,9460,2124,6
44524,N/A,,,5136,13719,85
38579,N/A,,,13505,454,1
31096,6.80,13251,,3416,29489,14
22113,6.21,913,,8048,3673,5
7471,7.60,3573,,5696,8879,2
36111,N/A,,,17821,117,0
49843,N/A,,,18617,57,0
21329,8.55,58566,,1443,121702,161
10507,6.95,41368,,2150,68415,260
31865,5.84,3148,,5978,7908,11
34840,6.21,311,,12893,565,0
50041,N/A,,,16838,308,1
28487,N/A,,,17801,118,0
19157,6.51,7014,,3658,25697,183
14951,7.31,6992,,4892,12945,13
7261,7.02,2421,,7157,5008,20
26287,N/A,,,17227,152,0
41722,N/A,,,18106,99,0
49391,N/A,,,18526,65,0
23651,N/A,,,15042,290,0
23153,7.12,4667,,5026,12232,3
16988,N/A,,,15112,284,0
6625,6.20,162,,11475,951,2
48873,N/A,,,16950,194,1
37045,6.54,3938,,5019,12296,9
38854,6.54,146,,11502,944,0
32946,6.54,1788,,7514,4466,9
3075,6.23,448,,10669,1313,6
38830,6.23,95784,,1029,179478,366
50932,N/A,,,19302,669,2
940,7.25,25996,,2207,65930,201
3121,7.06,15856,,3465,28661,25
24575,N/A,,,13623,434,0
39036,N/A,,,17450,141,0
1475,7.34,2995,,6334,6825,5
36517,6.07,26613,,2623,48497,87
21563,7.03,57529,,1353,132345,710
10666,6.28,1329,,9179,2373,1
7338,7.94,132567,,790,238478,794
49291,N/A,,,5943,10703,32
332,7.15,1194,,8080,3625,5
36121,6.90,3458,,5511,9588,53
49556,N/A,,,5464,9816,55
1941,7.17,2895,,5406,10058,17
22631,N/A,,,13848,402,0
1827,8.15,68159,,953,197644,2531
1089,7.96,19703,,2854,41165,639
37096,N/A,,,10927,1183,7
34958,5.24,196,,14086,374,0
5477,N/A,,,13144,516,0
3403,6.31,3273,,6446,6519,34
3953,5.44,698,,9214,2348,4
36763,5.98,130,,15316,275,0
39694,5.42,124,,15374,272,0
40267,5.97,1404,,4286,18268,63
38828,N/A,,,17283,151,0
43204,N/A,,,10944,1231,1
40062,7.03,869,,9839,1946,4
25537,8.20,197405,,476,372044,2259
105,6.42,8257,,3975,21512,34
6694,6.02,2565,,6407,6628,25
22635,N/A,,,14272,357,0
37915,5.32,192,,10189,1630,3
34918,N/A,,,16729,181,0
8751,4.86,249,,13327,479,0
39700,6.25,140,,15206,283,0
36127,N/A,,,14122,371,0
1255,7.21,8141,,4680,14502,22
38606,6.24,233,,10869,1223,3
15021,5.36,1435,,8785,2771,0
1127,6.72,6421,,4260,18445,40
10511,5.35,319,,11029,1141,2
33247,6.38,1169,,7763,4077,5
27631,7.23,220148,,344,493522,1805
49199,N/A,,,13620,464,0
38098,7.23,7258,,4094,19973,50
16257,N/A,,,13629,433,2
35508,N/A,,,17514,138,0
40816,5.77,125,,15937,243,0
48586,N/A,,,18078,111,0
49498,N/A,,,19299,60,0
15979,6.04,1367,,7070,5130,3
40542,8.11,102120,,1100,174636,381
3566,5.20,760,,9270,2290,1
40376,N/A,,,15191,293,0
5987,N/A,,,15243,276,1
50434,6.19,277,,10891,1204,1
41384,N/A,,,15120,285,0
32875,5.44,292,,12961,549,0
48369,6.78,238,,12629,718,2
35603,6.07,2005,,7126,5043,0
8626,6.33,3197,,7184,4988,71
38026,6.91,1390,,4750,14060,60
9716,6.73,1651,,6829,5656,3
1511,5.47,928,,8368,3230,3
